city,area,name,address,rating,total_ratings,maps_link,category
Jamtara,G.T.Road-Dumri,APOLLO MEDICINE,"G.T.Road-Dumri, VANANCHAL CHOWK,DUMRI, Dist, Isri, Jamtara, Jharkhand 825106, India",,,https://www.google.com/maps/place/?q=place_id:ChIJaYwuMSgN9DkR8A4DaZwVsfc,pharmacy
Jamtara,Ground Floor,Apollo Pharmacy Rupnarayanpur,"Ground Floor, Rupnarayanpur Rd, opp. Vaudha Cmplx, Rupnarayanpur, West Bengal 713386, India",4.2,28,https://www.google.com/maps/place/?q=place_id:ChIJ5XDuGGjf9jkRug_i4_lsH24,pharmacy
Jamtara,Ground Flr,Apollo Pharmacy Kendua Bazar,"Ground Flr, Kendua Rd, near Fashion Bazar, Kendua, Basdeopur, Bhadrak, Jharkhand 828116, India",4.8,18,https://www.google.com/maps/place/?q=place_id:ChIJ7anTEjuj9jkRh3djOedCjjk,pharmacy
Jamtara,Mouza-Rangamatia,MedPlus Samdi Road Rupnarayanpur,"Mouza-Rangamatia,Khatian No.4608,4598,J.L. No.38,Dag No.1076 P.O. Rupnarayanpur Bazar,P.S. Salanpur,District-West, Chittaranjan, Rupnarayanpur, West Bengal 713386, India",3.6,13,https://www.google.com/maps/place/?q=place_id:ChIJ_T766wTf9jkRF3i6cbQJFZA,pharmacy
Jamtara,Holding No,MedPlus Neamatpur Asansol,"Holding No, 67/061N, G.T. Road, Neamatpur P.O. Sitarampur, P.S. Kulti, District West Burdwan, Neamatpur, West Bengal 713359, India",3.9,28,https://www.google.com/maps/place/?q=place_id:ChIJB-zv5rsZ9zkRLAX7ztEXKHs,pharmacy
Jamtara,Sanctoria Bazar,MedPlus Sanctoria,"Sanctoria Bazar, Disergarh, Kulti District, West BurdwanSanctoria Bazar Disergarh, Kulti District, West Burdwan, Sanctoria, West Bengal 713333, India",4.8,5,https://www.google.com/maps/place/?q=place_id:ChIJIdMyxtbh9jkRDLmJCXlvnas,pharmacy
Jamtara,XR62+RXH,JULIE MEDICAL HALL,"XR62+RXH, Kayesthapara, Jamtara, Jharkhand 815351, India",4.7,6,https://www.google.com/maps/place/?q=place_id:ChIJHaz-B97Q9jkRAKoiUnWjZw0,pharmacy
Jamtara,Ward No.79,MEDPLUS BURNPUR ROAD SUBHASPALLY ASANSOL,"Ward No.79, Holding No.94, 403, Subhaspally, Asansol, West Bengal 713325, India",3,17,https://www.google.com/maps/place/?q=place_id:ChIJOWCq_ukf9zkRApwhznyLyJo,pharmacy
Jamtara,Mouza Domohani Khatian No. 4251 J.L. No. 50 Dag No. 2049 P.O. Domohani,MedPlus Domohani Jamuria Road,"Mouza Domohani Khatian No. 4251 J.L. No. 50 Dag No. 2049 P.O. Domohani, P.S, Barabani, Asansol, West Bengal 713334, India",4.2,17,https://www.google.com/maps/place/?q=place_id:ChIJuclYGccj9zkRfTbkxooBwQQ,pharmacy
Jamtara,Holding No - 726/New,MedPlus Christian Para Asansol,"Holding No - 726/New, Lower Chelidanga , Ward No - 6, P.O - Upper Chelidanga P.S - Asansol South, Dist, Chelidanga, Asansol, West Bengal 713304, India",4.3,12,https://www.google.com/maps/place/?q=place_id:ChIJuzyLq9Ef9zkR9REapiEVO00,pharmacy
