city,area,name,address,rating,total_ratings,maps_link,category
Pithoria,Ground Floor,"Lenskart.com at Kathal More, Ranchi","Ground Floor, OAK Pioneer, Kathal More - Argora - Ranchi Rd, Deepatoli, Pundag, Ranchi, Jharkhand 834004, India",4.8,67,https://www.google.com/maps/place/?q=place_id:ChIJXZ0f7fTh9DkRKtr4y06leXc,optical
Pithoria,Unit No 3,Lenskart.com at Mall Of Ranchi (First Lens Replacement Free),"Unit No 3, Mall Of, Ratu Rd, Kumhartoli, Ranchi, Jharkhand 834001, India",4.9,1561,https://www.google.com/maps/place/?q=place_id:ChIJhZRdtuvf9DkRpvmFX-Xq95M,optical
Pithoria,khata No 91,"Lenskart.com at Kanke Road, Ranchi","khata No 91, Kathar Gonda, Kanke Rd, Po+Ps, Indrapuri Colony, Kanke, Ranchi, Jharkhand 834008, India",5,42,https://www.google.com/maps/place/?q=place_id:ChIJ9f440Fjh9DkRhEraJb0ztZw,optical
Pithoria,Shop No 9,"Lenskart.com at Kanke Road, Ranchi (First Lens Replacement Free)","Shop No 9, Ground Floor, Chandni Chowk, Astor Green, Kanke Rd, Jhirga Toli, Gandhi Nagar, Ranchi, Jharkhand 834008, India",4.8,1192,https://www.google.com/maps/place/?q=place_id:ChIJ-5bd3Vnn9DkRkjQL9dLE9tg,optical
Pithoria,Ratu Rd,Lenskart,"Ratu Rd, Aryapuri, Marg, Ranchi, Jharkhand 834005, India",4.9,239,https://www.google.com/maps/place/?q=place_id:ChIJffnx4zTh9DkR8wlGVZ3_-JY,optical
Pithoria,Plot 289,"Lenskart.com at Kadru Road, Ranchi (First Lens Replacement Free)","Plot 289, Kadru Main Road, Delatoli, PS, Kadru, Argora, Ranchi, Jharkhand 834002, India",4.8,219,https://www.google.com/maps/place/?q=place_id:ChIJQR4RJwDh9DkRfRbEr-1QRlo,optical
Pithoria,Ground Floor,Lenskart Kokar Ranchi,"Ground Floor, Ranchi - Patna Rd, beside Apollo Pharmacy, near Benelli, New Adarsh Nagar, Keeway, Kokar, Ranchi, Jharkhand 834001, India",5,14,https://www.google.com/maps/place/?q=place_id:ChIJq_4qMH7j9DkRBd7F1HaYWXE,optical
Pithoria,Khata No 39,Lenskart.com at Lohardaga,"Khata No 39, SARNA TOLI, Plot- 490/2378, PS, Lohardaga, Jharkhand 835302, India",5,131,https://www.google.com/maps/place/?q=place_id:ChIJQR039RcjizkRXFLzlCrM6Z0,optical
Pithoria,Shop No,"Lenskart.com at Hazaribagh, Jharkhand (Harry Potter Collection)","Shop No, 235, Guru Gobind Singh Rd, near Annada Chowk, NawabGanj, Hazaribagh, Jharkhand 825301, India",4.9,1702,https://www.google.com/maps/place/?q=place_id:ChIJ08z-yRqd9DkRju6B8mF7hSE,optical
Pithoria,Plot No 172,Lenskart.com at Ramghar,"Plot No 172, Gram Thana Chawk, near Gandhi Chawk, Area, Ramgarh Cantonment, Jharkhand 829122, India",4.9,1506,https://www.google.com/maps/place/?q=place_id:ChIJcXPC_JH19DkRt7FC8m0m1CM,optical
Pithoria,Natraj Mansion,Lenskart.com Flagship Store at Bistupur Jamshedpur (First Lens Replacement Free),"Natraj Mansion, 3, Bistupur Main Rd, next to Colour Plus, Bistupur, Jamshedpur, Jharkhand 831001, India",4.9,5996,https://www.google.com/maps/place/?q=place_id:ChIJRZ3VaWHj9TkRp8hIghKL2WQ,optical
Pithoria,Plot No 1285,Lenskart.com at Gwaltoli Hazaribagh,"Plot No 1285, Ward 17, Sapna Tower, Chatra Road, Gwal Toli Chowk, Azad Rd, Suleman Colony, Chisti Nagar, Hazaribagh, Jharkhand 825301, India",4.9,1115,https://www.google.com/maps/place/?q=place_id:ChIJRfeB-1ef9DkRtbL9nOqG3mI,optical
Pithoria,GEL Church Complex,"Titan Eye+ Flagship store at Kanka, Ranchi (Buy 1 Get 1 Free)","GEL Church Complex, Ground, 13, Mahatma Gandhi Main Rd, Ranchi, Jharkhand 834001,ph, Kanka, Ranchi, Jharkhand 834001, India",4.9,2239,https://www.google.com/maps/place/?q=place_id:ChIJy8dMyKfh9DkR670vZifbo3E,optical
Pithoria,FOGLA HOUSE,"Titan Eye+ at Lalpur, Ranchi (Buy 1 Get 1 Free)","FOGLA HOUSE, 56, Circular Rd, beside KAVERI RESTAURANT, P&T Colony, Lalpur, Ranchi, Jharkhand 834001, India",4.9,1689,https://www.google.com/maps/place/?q=place_id:ChIJefgbD23h9DkR1UyLlvvs6GQ,optical
Pithoria,C926+75M,"Titan Eye+ at Bariatu Road, Ranchi (Buy 1 Get 1 Free)","C926+75M, Bariatu Rd, Bariatu Housing Colony, Ranchi, Jharkhand 834009, India",4.9,701,https://www.google.com/maps/place/?q=place_id:ChIJh9gPW5fj9DkRpRzwTll9iXk,optical
Pithoria,SAI COMPLEX,"Titan Eye+ at Kanke Road, Ranchi (Buy 1 Get 1 Free)","SAI COMPLEX, Kanke Rd, opp. ORIENTAL BANK OF COMMERCE, near KRISHI BHAWAN, Jawahar Nagar, Hatma, Ranchi, Jharkhand 834008, India",4.9,2219,https://www.google.com/maps/place/?q=place_id:ChIJmxnMXgjn9DkRdW0YUfZxlK8,optical
Pithoria,Hinoo Main Rd,"Titan Eye+ at Hinoo, Ranchi (Buy 1 Get 1 Free)","Hinoo Main Rd, below Allahabad Bank, Kilburn Colony, Shivpuri Colony, Hinoo, Ranchi, Jharkhand 834002, India",4.9,1278,https://www.google.com/maps/place/?q=place_id:ChIJhdnkySbh9DkR1dIusQ-mLk4,optical
Pithoria,Ward No.26,"Titan Eye+ at Ashok Nagar, Ranchi","Ward No.26, Sarashwati Market Complex, & 2, Rd Number 1, opp. Hiltop Moters, Central Ashoka Colony, Ashok Vihar, Delatoli, Ranchi, Jharkhand 834002, India",5,446,https://www.google.com/maps/place/?q=place_id:ChIJjygvxOrh9DkRffz9qHjzr2k,optical
Pithoria,Ground Floor,"Titan Eye+ at Harmu Road, Ranchi (Buy 1 Get 1 Free)","Ground Floor, Jagannth Enclave, Plot No.94, Harmu Rd, beside Tanishq, near Shani Mandir, Kumhartoli, Ranchi, Jharkhand 834001, India",5,250,https://www.google.com/maps/place/?q=place_id:ChIJg_E8MBLh9DkRWiENvGbKOy8,optical
Hunterganj,Chata No 483,Lenskart,"Chata No 483, Plot No 2606, Redma Chowk, Ward No 18, Chedi Petrol Pump, Panki Road, Abadganj, Medininagar, Jharkhand 822101, India",4.9,296,https://www.google.com/maps/place/?q=place_id:ChIJScBzATF3jDkRmSFwmZ2-lrI,optical
Hunterganj,Shop No,"Lenskart.com at Hazaribagh, Jharkhand (Harry Potter Collection)","Shop No, 235, Guru Gobind Singh Rd, near Annada Chowk, NawabGanj, Hazaribagh, Jharkhand 825301, India",4.9,1702,https://www.google.com/maps/place/?q=place_id:ChIJ08z-yRqd9DkRju6B8mF7hSE,optical
Hunterganj,Khata No 39,Lenskart.com at Lohardaga,"Khata No 39, SARNA TOLI, Plot- 490/2378, PS, Lohardaga, Jharkhand 835302, India",5,131,https://www.google.com/maps/place/?q=place_id:ChIJQR039RcjizkRXFLzlCrM6Z0,optical
Hunterganj,Plot No 1285,Lenskart.com at Gwaltoli Hazaribagh,"Plot No 1285, Ward 17, Sapna Tower, Chatra Road, Gwal Toli Chowk, Azad Rd, Suleman Colony, Chisti Nagar, Hazaribagh, Jharkhand 825301, India",4.9,1115,https://www.google.com/maps/place/?q=place_id:ChIJRfeB-1ef9DkRtbL9nOqG3mI,optical
Hunterganj,Ground Floor,"Lenskart.com Flagship Store at Main Road, Ranchi (First Lens Replacement Free)","Ground Floor, Capitol Hill Building, Mahatma Gandhi Main Rd, Maulana Azad Colony, Hindpiri, Ranchi, Jharkhand 834001, India",4.8,1549,https://www.google.com/maps/place/?q=place_id:ChIJf_Trslvh9DkRuSt5YSX3-2k,optical
Hunterganj,Ground Floor,"Lenskart.com at Harmu, Ranchi (First Lens Replacement Free)","Ground Floor, Pradhan Tower, Harmu Rd, opposite Caratlane, Kumhartoli, Ranchi, Jharkhand 834001, India",4.8,2406,https://www.google.com/maps/place/?q=place_id:ChIJUVqqygjh9DkR5lWVtEJrTPQ,optical
