city,area,name,address,rating,total_ratings,maps_link,category
Deoghar,Village - Dumatanr,Delhi Public School Deoghar,"Village - Dumatanr , Near Lakra Mouja, Plot no 06, Dumatanr, Jharkhand 814113, India",,,https://www.google.com/maps/place/?q=place_id:ChIJud7heS8X8TkRBfJCzzQQb3E,schools
Deoghar,GP4H+3P2,DELHI PUBLIC SCHOOL Deoghar,"GP4H+3P2, Amgariya, near Delhi public school, Amgariya, Deoghar, Jharkhand 814157, India",,,https://www.google.com/maps/place/?q=place_id:ChIJTfVXw7gX8TkRHoVRrJCMG10,schools
Deoghar,GM5W+678,Dps international school,"GM5W+678, Katoria, Deoghar, Jharkhand 814112, India",,,https://www.google.com/maps/place/?q=place_id:ChIJHYrEcwAX8TkRA5LDIXYDAxc,schools
Deoghar,Vill- Rajabhita,KENDRIYA VIDYALAYA MADHUPUR,"Vill- Rajabhita, 7JH8+545, Madhupur, Rajabihta, Jharkhand 815353, India",,,https://www.google.com/maps/place/?q=place_id:ChIJhRgbcDI38TkRV4NFIYvYDP4,schools
Deoghar,FMRH+645 Infront of TV & FM Relay Centre,Deoghar Central School,"FMRH+645 Infront of TV & FM Relay Centre, Satsang Nagar, Hirna, Deoghar, Jharkhand 814142, India",,,https://www.google.com/maps/place/?q=place_id:ChIJfVKHWR4W8TkR14MlaWM__wE,schools
Giridih,58M6+273,DAV PUBLIC SCHOOL GIRIDIH,"58M6+273, Station Rd, Laxmi Mohalla, Giridih, Jharkhand 815301, India",,,https://www.google.com/maps/place/?q=place_id:ChIJo2IsHB5V8TkRJa2KRBrnQ48,schools
Giridih,6866+2R6,BNS DAV Public School,"6866+2R6, Bulaki Rd, Sirsia, Giridih, Jharkhand 815302, India",,,https://www.google.com/maps/place/?q=place_id:ChIJBfoTLJFW8TkRqA8zvaFt2H8,schools
Giridih,Beniadih,DAV Public School CCL,"Beniadih,, 57FP+CXX, Giridih, NH 114A, Jogitanr, Giridih, Jharkhand 815311, India",,,https://www.google.com/maps/place/?q=place_id:ChIJ7-VWgMhV8TkR-F9itzP5Ezo,schools
Giridih,57FP+CXX,DAV CCL GIRIDIH OFFICE,"57FP+CXX, NH 114A, Jogitanr, Giridih, Jharkhand 815311, India",4,46,https://www.google.com/maps/place/?q=place_id:ChIJHV65PelV8TkRHiL3Nx-zKeQ,schools
Giridih,57JP+VQ4,B.N.S D.A.V Public School,"57JP+VQ4, Mohulichuan, Giridih, Jarbad, Jharkhand 815301, India",,,https://www.google.com/maps/place/?q=place_id:ChIJAQAAANBV8TkRPzp-bqE3FLo,schools
Giridih,Harsingh Raidih,Delhi Public School,"Harsingh Raidih, state Highway, Tundi Rd, Harsingh Raidih, Jharkhand 815302, India",,,https://www.google.com/maps/place/?q=place_id:ChIJH5KluyNU8TkRbmxydlzq-as,schools
Giridih,H3R8+64,"Delhi Public School ,Tisri (Giridih)","H3R8+64, Jamuniatanr, Jharkhand 815317, India",,,https://www.google.com/maps/place/?q=place_id:ChIJE2-vZ8zF8zkRsRk17V7XCGo,schools
Giridih,587G+Q6P,DPS SCHOOL GAWAN,"587G+Q6P, Giridih, Jharkhand 815302, India",,,https://www.google.com/maps/place/?q=place_id:ChIJ7aZ4Wa9V8TkR3pyXUUlGP9k,schools
Giridih,7775+8C,"KENDRIYA VIDYALAYA, GIRIDIH","7775+8C, Sugasar, Jharkhand 815302, India",,,https://www.google.com/maps/place/?q=place_id:ChIJu58aUQBX8TkR-FmzFdOj_-0,schools
Ramgarh,JGGM+HX2,D.A.V. Public School Ramgarh.,"JGGM+HX2, near bazar samati, Ramgarh Cantonment, Jharkhand 829122, India",,,https://www.google.com/maps/place/?q=place_id:ChIJHyAyDNj19DkR_m9ndX0-86Y,schools
Ramgarh,ward no 5,Agrasen DAV Public School,"ward no 5, NH 33, ramgarh city road, MGQ6+MHV, Ramgarh, Pathway School, Sandi, Bharechnagar, Jharkhand 829117, India",,,https://www.google.com/maps/place/?q=place_id:ChIJbWty9VDz9DkRMNru_0jrSns,schools
Ramgarh,Balmiki nagar,DELHI PUBLIC SCHOOL PATRATU,"Balmiki nagar, Sankul Patratu Rd, Patratu, Jharkhand 829118, India",,,https://www.google.com/maps/place/?q=place_id:ChIJKW-1xYXr9DkRLrjwT8iUAUs,schools
